MES,FITNESS,CAPACIDAD_TOTAL,KM_EXTRA,KM_TENDENCIA,SOBRANTE,VACIAS,LLENAS,BICIS TOTAL,PERDIDOS,CAPACIDAD,IBASE-CAPACIDADES_MEJOR
01_2021,2397,5087,258,2128,1,4612,3633,2523,9620,[20 26 15 20 18 14 20 25 18 20 15 23 20 21 19 15 17 30 17 17 23 15 20 20 23 15 36 20 15 30 23 20 16 43 20 20 27 20 20 16 16 20 17 19 18 15 13 15 20 19 20 18 16 41 18 15 23 19 21 40 17 18 14 20 18 12 30 16 10 15 12 20 20 16 14 18 18 19 18 14 15 33 19 18 17 20 13 15 23 17 15 18 20 10 40 27 18 13 15 15 20 23 25 20 20 18 22 19 20 21 20 22 20 34 15 16 21 13 16 18 20 24 17 20 45 41 20 36 20 20 20 14 23 21 14 25 11 18 23 38 17 20 15 25 15 20 15 30 14 15 18 15 20 12 15 21 15 20 13 15 16 20 15 32 32 20 12 22 20 15 18 21 20 15 19 15 13 20 20 13 18 20 17 14 19 15 18 19 14 19 20 16 13 18 17 16 15 15 22 23 23 23 11 12 15 27 15 15 17 20 13 18 25 30 20 17 17 13 17 20 20 17 22 22 20 20 20 22 18 25 20 14 18 13 20 24 20 18 12 26 18 20 18 37 18 14 20 30 20 24 42 17 20 14 19 14 15 14 20 30 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
01_2021,2362,5108,288,2063,1,4530,3573,2523,9446,[20 26 15 20 22 14 20 25 18 20 15 23 20 21 19 15 17 30 18 15 23 15 20 20 23 15 36 20 15 34 23 20 16 43 20 20 27 20 20 13 16 20 17 19 18 15 13 16 20 19 20 18 16 41 18 13 23 19 21 40 19 18 14 17 18 12 30 16 10 15 12 20 20 16 14 18 18 19 18 14 15 33 19 18 17 20 13 15 23 17 15 18 20 10 40 27 18 13 15 15 20 23 25 20 20 18 22 19 23 21 23 22 20 34 15 16 21 13 16 18 20 24 15 20 45 41 20 36 20 23 20 14 23 21 14 25 11 18 23 38 17 20 15 25 15 21 15 30 14 15 18 15 20 12 15 21 15 20 13 15 17 20 15 32 32 20 12 22 20 15 18 21 20 15 19 15 13 20 20 13 18 20 17 14 19 15 18 19 14 19 20 16 13 18 17 16 15 15 22 23 23 23 11 12 15 27 15 15 17 20 13 18 25 30 20 17 17 13 19 20 20 17 22 22 20 20 20 22 18 31 20 14 18 13 20 24 20 18 12 26 18 20 18 37 18 14 20 30 20 24 42 19 20 14 19 14 15 14 20 30 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
01_2021,2331,5116,313,2008,1,4437,3506,2523,9250,[20 26 15 20 22 14 20 25 18 20 15 24 20 21 19 15 17 30 18 15 26 15 20 20 23 15 36 20 13 34 23 20 14 43 20 20 27 20 20 13 16 20 17 19 18 15 13 13 20 19 21 18 16 41 18 13 23 19 21 40 19 18 14 17 18 12 30 16 10 15 12 20 20 16 14 18 18 19 18 14 13 33 19 18 16 20 13 15 23 17 15 18 20 10 40 27 18 13 15 15 20 23 25 20 20 18 22 19 23 21 24 22 20 34 15 16 21 13 16 18 20 24 15 20 45 41 20 35 20 23 20 14 23 21 15 27 11 18 23 38 17 20 15 25 15 21 15 30 14 15 18 15 20 12 15 21 15 18 13 15 17 20 15 32 32 20 13 22 20 15 18 21 20 17 19 15 13 20 20 13 18 20 17 14 19 15 18 19 14 19 20 16 13 21 17 16 15 15 22 23 23 23 11 12 18 27 15 15 14 20 13 18 25 30 20 17 17 13 19 23 20 20 22 22 20 20 20 22 18 31 20 14 18 13 20 24 20 18 12 26 18 20 18 37 18 14 20 30 20 24 42 19 20 14 19 14 15 14 20 30 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
01_2021,2253,5134,259,1983,1,4555,3259,2523,9101,[20 26 15 20 22 14 20 28 18 18 13 24 20 21 19 15 17 30 18 15 26 15 20 20 23 15 36 23 13 34 23 20 14 41 20 20 27 20 20 15 16 20 14 19 21 15 13 13 20 22 21 18 16 41 18 13 23 19 21 40 19 18 14 17 18 12 30 16 10 15 10 20 20 16 14 18 18 19 18 14 13 33 18 18 16 20 13 15 23 17 15 19 20 10 40 27 18 14 15 15 20 23 25 20 20 18 22 19 23 21 24 22 20 34 15 16 21 13 18 18 20 24 15 20 45 41 20 35 20 23 20 14 23 21 15 27 11 18 23 38 17 19 15 25 15 21 15 30 14 15 18 15 20 12 15 21 15 18 13 15 17 20 15 33 32 20 13 22 20 15 18 21 20 20 19 17 13 20 20 13 18 20 20 14 19 18 18 19 14 19 20 16 13 21 17 16 15 15 22 23 23 23 11 12 18 27 15 15 14 20 13 18 25 30 20 17 17 13 19 23 20 20 22 22 20 20 20 22 18 31 20 14 18 13 20 26 20 15 12 26 18 18 18 37 18 14 20 30 23 25 42 19 20 14 19 14 15 14 20 30 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
01_2021,2200,5151,264,1925,1,4546,3024,2523,8879,[20 26 15 20 22 14 20 28 18 18 13 24 20 21 19 15 17 30 18 15 26 15 20 20 23 15 36 22 13 34 23 20 14 41 20 20 27 20 20 15 16 20 14 19 21 15 13 13 20 22 21 18 16 41 18 13 23 19 21 40 19 18 14 17 18 12 30 17 10 15 10 18 20 17 14 18 18 19 18 14 13 33 18 18 16 20 13 15 23 17 15 19 22 10 40 27 18 14 15 14 20 23 25 22 20 18 22 20 23 21 22 22 20 34 15 17 21 13 16 18 23 24 15 20 45 41 20 35 20 23 20 14 23 21 15 27 11 18 23 38 17 19 15 25 15 21 16 30 14 15 18 15 20 12 15 21 15 18 13 15 17 20 15 33 32 20 13 22 23 15 18 24 20 20 19 17 13 20 20 13 15 20 20 14 19 18 18 19 14 19 20 16 13 21 17 16 16 15 22 23 23 23 11 12 18 27 15 15 14 20 13 18 25 30 20 17 17 13 19 23 20 20 22 22 20 20 20 22 20 31 22 14 20 13 20 26 20 15 12 26 18 18 18 37 18 14 20 30 23 25 42 22 20 14 19 14 15 14 20 30 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
01_2021,2140,5162,261,1868,1,4482,2887,2523,8627,[20 26 15 20 22 14 20 28 18 18 13 24 20 21 19 15 17 29 18 15 30 15 20 20 23 12 36 22 13 34 23 20 14 41 20 20 27 20 20 15 14 20 14 19 21 15 13 13 20 22 21 18 16 41 18 13 23 19 23 40 19 18 14 17 18 12 30 17 10 15 10 18 20 17 14 18 18 19 18 14 13 33 18 18 16 20 13 15 23 17 15 19 22 10 40 27 18 14 12 14 20 23 25 22 20 18 22 20 24 19 22 22 20 34 15 17 21 13 16 18 23 24 15 20 45 41 20 35 20 23 20 14 23 23 15 27 11 18 23 38 17 19 18 24 15 21 16 30 14 15 18 15 20 12 15 21 15 18 13 17 17 21 15 33 32 20 13 22 23 15 18 25 20 20 21 17 13 20 20 13 15 20 20 14 19 18 18 19 14 19 20 16 13 21 20 16 16 15 20 23 23 22 11 12 18 27 15 15 14 20 13 18 25 30 20 17 17 13 19 24 20 20 22 22 20 20 23 22 20 31 22 14 20 13 19 26 20 15 12 26 18 18 18 37 18 14 20 30 23 25 42 22 20 14 19 14 15 14 22 30 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
01_2021,2094,5185,256,1827,1,4502,2640,2523,8381,[20 26 15 20 22 14 21 28 18 18 13 24 20 21 19 15 17 32 18 15 26 15 20 20 23 11 36 22 13 34 23 20 14 41 20 20 27 20 22 14 14 20 14 19 21 15 13 13 20 22 22 18 16 41 18 13 23 19 23 40 19 18 14 17 18 12 30 17 10 15 10 18 20 17 14 18 18 19 21 14 13 33 18 18 16 20 13 15 23 17 15 19 22 10 40 27 18 14 12 14 20 23 25 22 20 21 22 20 24 19 22 22 20 34 15 17 21 13 16 18 23 24 15 21 45 41 20 35 23 23 20 14 23 23 15 27 11 18 23 40 17 19 18 24 13 21 18 30 14 15 18 15 23 12 15 21 15 20 13 17 17 21 15 33 32 20 13 22 23 15 18 25 20 20 21 17 13 20 20 13 15 20 20 14 19 18 18 19 14 19 20 16 13 21 20 15 16 15 20 23 23 22 11 12 18 27 15 15 14 20 13 18 26 30 20 17 17 13 19 24 20 20 22 22 20 20 23 22 22 31 22 14 20 13 19 26 20 15 12 26 18 18 18 37 18 14 20 30 22 25 42 22 20 14 21 14 17 14 22 30 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
01_2021,2050,5193,252,1787,1,4403,2611,2523,8253,[20 26 17 20 22 14 21 28 18 18 13 24 20 21 19 18 15 32 18 15 26 15 20 20 23 13 36 22 13 34 23 20 14 41 19 20 27 20 22 14 14 20 14 19 19 15 11 13 20 22 22 18 19 41 18 13 23 19 23 40 19 18 14 18 18 12 30 17 10 15 10 18 20 17 14 18 18 19 21 14 13 33 18 18 16 20 13 15 23 17 15 19 22 10 40 29 18 13 12 14 19 23 25 22 17 21 22 20 24 19 22 22 20 34 15 17 21 13 16 18 23 24 15 21 45 41 20 35 23 23 20 14 23 23 15 27 11 18 23 40 17 19 18 24 13 21 18 30 14 15 15 15 23 13 15 21 15 20 13 17 17 21 16 33 32 20 13 22 23 15 18 29 20 20 21 17 13 20 20 13 15 20 17 14 19 18 18 19 14 19 20 16 13 21 20 15 16 15 20 23 23 22 11 12 18 27 15 15 14 19 13 20 26 33 20 17 17 13 19 24 20 20 22 22 20 20 23 22 22 31 22 14 20 13 19 26 20 15 12 26 18 18 18 37 18 14 20 30 22 25 42 22 20 14 21 14 17 14 22 33 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
01_2021,2022,5204,277,1734,1,4375,2489,2523,8159,[18 26 17 20 22 14 21 28 18 18 15 24 20 21 19 18 15 28 18 15 26 15 20 20 23 13 36 22 13 34 23 20 14 41 19 20 27 20 22 14 14 20 14 19 18 15 11 15 20 22 22 18 19 41 18 13 23 19 23 40 19 20 14 18 18 12 30 17 10 15 10 18 20 17 14 18 18 19 21 14 13 33 18 18 16 20 11 15 23 17 15 19 22 10 40 29 18 13 12 14 19 23 25 22 17 21 22 20 24 19 22 22 20 34 15 17 21 13 16 15 23 24 15 21 48 45 20 35 23 23 20 14 23 23 15 27 11 18 23 40 17 19 18 24 13 23 18 30 14 15 15 15 23 13 15 21 15 20 13 17 20 21 16 33 32 23 13 22 23 18 18 29 20 20 21 17 13 20 22 13 12 20 17 14 19 18 15 19 14 19 20 16 13 21 20 15 16 15 20 23 23 22 11 12 19 27 15 15 14 19 13 20 26 34 20 17 17 13 21 24 20 20 21 22 20 20 23 22 22 31 22 14 20 13 19 26 20 15 12 26 18 18 18 37 18 14 20 30 22 25 42 22 20 14 21 14 17 14 22 33 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
01_2021,1993,5221,265,1716,1,4428,2368,2523,8080,[21 26 17 20 22 14 23 28 18 18 15 24 20 21 19 18 15 28 18 15 26 16 20 20 23 13 36 22 13 37 20 19 14 41 19 20 27 19 22 14 14 20 14 19 18 15 11 15 20 22 22 18 19 41 18 13 26 16 23 40 19 20 14 18 18 12 30 17 10 15 10 18 20 17 14 18 18 19 21 14 13 33 18 18 17 20 11 15 23 17 15 19 22 10 40 29 18 13 12 16 19 23 25 22 17 21 22 20 24 19 22 22 20 34 15 17 21 13 19 15 23 24 15 21 48 45 22 35 26 23 20 14 23 23 17 27 11 18 23 40 17 19 18 24 13 23 18 30 14 15 17 15 23 13 15 21 15 18 13 17 20 21 16 33 32 21 13 22 23 18 18 29 20 20 21 17 13 20 22 13 12 20 17 14 22 18 15 19 14 19 20 16 13 20 20 15 16 15 20 23 23 22 11 12 19 27 15 15 14 21 13 20 26 34 20 17 17 13 21 24 20 20 21 22 20 20 23 22 22 31 22 14 18 13 19 26 20 15 12 26 18 18 18 37 18 14 20 30 22 25 42 22 20 14 21 14 17 14 22 33 ],[-4 -5 -8 3 -9 2 -1 -4 -4 5 -7 4 -12 -3 1 -7 0 0 5 -13 -9 -1 -1 10 -3 2 12 6 -4 -8 2 2 -1 -5 1 6 1 1 -6 1 -6 -3 0 -3 5 -1 -1 -6 -4 1 -2 1 1 -1 4 1 -13 -1 -10 7 -5 -11 -5 -1 -11 9 3 -12 -4 -5 5 2 0 -3 -8 -2 5 -5 -10 3 6 8 -1 -5 8 3 -3 -7 7 -8 2 -13 1 4 -6 -6 1 -7 1 -6 1 -5 -1 -5 -10 -5 -7 -5 -2 -1 -1 -9 -4 -11 -2 2 5 -3 -2 4 -5 -4 -3 -2 -16 -5 -3 1 -3 -4 -3 -1 2 -4 -1 -2 -1 -4 -4 9 -4 -1 5 -2 -4 -3 -2 -7 7 -3 -5 -2 -10 0 -2 -9 2 -4 -1 -3 -4 -4 -8 -10 7 -7 -2 -6 -2 -6 -6 -8 -4 -7 -13 -3 -2 -10 -4 1 6 -3 -5 -2 -6 -6 2 -7 -1 4 -13 -3 -5 -1 -1 -10 -6 0 -3 -11 -7 5 -4 7 -6 11 -1 2 10 4 -8 0 8 0 -7 -5 5 6 1 -14 -1 -6 -1 -1 2 0 -7 -2 -12 -22 -10 -1 -4 -2 0 -1 -2 -2 4 5 -2 -1 1 -4 3 -1 -2 7 -13 0 3 -4 -3 1 2 -3 -1 3 -1 -412 ]
