MES,FITNESS,CAPACIDAD_TOTAL,KM_EXTRA,KM_TENDENCIA,SOBRANTE,VACIAS,LLENAS,BICIS TOTAL,PERDIDOS,CAPACIDAD,IBASE-CAPACIDADES_MEJOR
01_2021,3563,5089,0,2546,1,5603,4209,2523,10390,[20 25 15 20 20 19 20 29 17 20 15 20 20 18 16 15 17 30 15 18 20 20 15 20 20 15 40 20 20 30 20 20 15 40 20 20 30 20 19 15 18 20 15 20 20 15 15 15 19 20 20 20 19 40 20 15 20 20 20 40 19 18 15 20 15 14 30 15 10 15 12 20 20 15 14 20 20 17 18 15 15 30 20 15 20 20 15 15 20 14 17 20 20 15 39 27 15 16 15 15 20 15 20 20 20 20 20 20 20 20 20 20 20 30 15 15 20 16 17 20 20 20 15 20 40 40 19 40 20 20 20 15 20 20 15 20 13 20 20 40 15 20 18 20 15 20 15 30 20 15 18 15 20 15 15 20 15 20 15 15 18 20 15 30 40 20 15 20 20 15 20 20 20 15 15 15 13 20 20 14 20 20 15 15 20 15 20 18 15 18 20 15 14 20 20 15 15 15 18 20 20 20 15 15 15 30 15 15 20 20 15 18 25 30 15 15 17 15 20 20 20 17 20 20 20 20 20 20 20 20 20 15 15 15 20 20 20 15 15 30 20 20 15 37 19 15 20 30 20 24 40 20 20 14 20 17 15 18 20 30 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
01_2021,3379,5052,365,2010,1,4477,3455,2523,10617,[21 25 15 19 23 19 21 29 15 14 15 21 21 18 15 19 18 30 13 15 20 20 15 20 21 18 40 19 15 30 20 20 15 37 24 17 30 20 19 15 18 19 15 20 20 15 19 15 22 17 20 20 19 45 20 17 20 25 18 35 25 17 15 20 19 14 33 18 8 14 12 19 20 15 16 20 18 17 18 17 15 30 21 13 19 20 12 16 20 14 19 19 20 14 40 26 15 17 15 15 20 16 23 23 17 17 19 18 23 17 20 20 20 29 18 17 20 16 13 21 20 18 15 25 36 37 19 43 20 20 18 15 18 20 15 20 13 19 20 29 16 17 18 20 15 20 15 30 18 15 17 16 23 15 16 20 17 17 15 14 18 22 15 33 37 20 15 20 20 12 20 20 20 14 18 15 13 17 20 14 17 20 15 15 22 20 22 16 15 18 17 15 14 21 20 15 15 10 18 20 17 16 15 10 15 30 16 15 21 20 15 18 29 30 12 15 17 12 18 22 20 18 19 17 20 17 22 30 19 23 20 13 15 12 20 23 20 16 12 30 17 16 15 37 19 12 20 30 20 24 33 23 21 10 23 19 13 19 18 30 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
01_2021,3379,5052,365,2010,1,4477,3455,2523,10617,[21 25 15 19 23 19 21 29 15 14 15 21 21 18 15 19 18 30 13 15 20 20 15 20 21 18 40 19 15 30 20 20 15 37 24 17 30 20 19 15 18 19 15 20 20 15 19 15 22 17 20 20 19 45 20 17 20 25 18 35 25 17 15 20 19 14 33 18 8 14 12 19 20 15 16 20 18 17 18 17 15 30 21 13 19 20 12 16 20 14 19 19 20 14 40 26 15 17 15 15 20 16 23 23 17 17 19 18 23 17 20 20 20 29 18 17 20 16 13 21 20 18 15 25 36 37 19 43 20 20 18 15 18 20 15 20 13 19 20 29 16 17 18 20 15 20 15 30 18 15 17 16 23 15 16 20 17 17 15 14 18 22 15 33 37 20 15 20 20 12 20 20 20 14 18 15 13 17 20 14 17 20 15 15 22 20 22 16 15 18 17 15 14 21 20 15 15 10 18 20 17 16 15 10 15 30 16 15 21 20 15 18 29 30 12 15 17 12 18 22 20 18 19 17 20 17 22 30 19 23 20 13 15 12 20 23 20 16 12 30 17 16 15 37 19 12 20 30 20 24 33 23 21 10 23 19 13 19 18 30 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
01_2021,3347,5122,389,1928,1,4224,3271,2523,9978,[20 31 13 20 23 19 17 27 20 20 15 20 20 19 19 15 20 30 15 20 19 20 14 20 19 15 36 21 20 26 21 19 20 39 23 18 26 20 18 13 17 21 12 20 18 14 13 15 19 20 19 18 18 40 20 14 20 20 20 40 20 15 16 19 16 10 30 15 11 18 12 20 20 15 14 18 16 17 19 15 12 27 18 15 20 21 17 11 20 15 17 20 17 15 36 31 16 16 16 15 21 18 19 23 20 20 18 20 22 17 20 20 19 30 12 16 20 16 17 20 22 22 15 20 38 36 21 35 26 15 22 15 20 18 14 17 13 21 20 40 17 21 18 23 12 19 15 34 20 16 15 16 17 14 14 20 15 31 15 18 17 15 17 30 40 20 12 23 18 17 23 24 20 16 18 18 14 20 17 16 19 19 20 15 17 15 20 16 15 18 16 15 15 22 16 22 17 15 15 20 23 22 18 18 18 30 16 12 18 20 17 19 25 31 13 17 15 14 22 22 19 20 20 20 20 21 22 20 20 19 23 15 15 14 20 17 23 17 14 30 22 20 10 44 19 19 23 27 23 27 38 20 23 12 23 16 15 18 20 35 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
01_2021,3347,5122,389,1928,1,4224,3271,2523,9978,[20 31 13 20 23 19 17 27 20 20 15 20 20 19 19 15 20 30 15 20 19 20 14 20 19 15 36 21 20 26 21 19 20 39 23 18 26 20 18 13 17 21 12 20 18 14 13 15 19 20 19 18 18 40 20 14 20 20 20 40 20 15 16 19 16 10 30 15 11 18 12 20 20 15 14 18 16 17 19 15 12 27 18 15 20 21 17 11 20 15 17 20 17 15 36 31 16 16 16 15 21 18 19 23 20 20 18 20 22 17 20 20 19 30 12 16 20 16 17 20 22 22 15 20 38 36 21 35 26 15 22 15 20 18 14 17 13 21 20 40 17 21 18 23 12 19 15 34 20 16 15 16 17 14 14 20 15 31 15 18 17 15 17 30 40 20 12 23 18 17 23 24 20 16 18 18 14 20 17 16 19 19 20 15 17 15 20 16 15 18 16 15 15 22 16 22 17 15 15 20 23 22 18 18 18 30 16 12 18 20 17 19 25 31 13 17 15 14 22 22 19 20 20 20 20 21 22 20 20 19 23 15 15 14 20 17 23 17 14 30 22 20 10 44 19 19 23 27 23 27 38 20 23 12 23 16 15 18 20 35 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
01_2021,3209,5122,260,1919,1,4337,3015,2523,8695,[20 31 13 20 23 19 17 27 20 20 15 20 20 19 19 15 20 30 15 20 19 20 14 20 19 15 36 21 20 26 21 19 20 39 23 18 26 20 18 13 17 21 12 20 18 14 13 15 19 20 19 18 18 40 20 14 20 20 20 40 20 15 16 19 16 10 30 15 11 18 12 20 20 15 14 18 16 17 19 15 12 27 18 15 20 21 17 11 20 15 17 20 17 15 36 31 16 16 16 15 21 18 19 23 20 20 18 20 22 17 20 20 19 30 12 16 20 16 17 20 22 22 15 20 38 36 21 35 26 15 22 15 20 18 14 17 13 21 20 40 17 21 18 23 12 19 15 34 20 16 15 16 17 14 14 20 15 31 15 18 17 15 17 30 40 20 12 23 18 17 23 24 20 16 18 18 14 20 17 16 19 19 20 15 17 15 20 16 15 18 16 15 15 22 16 22 17 15 15 20 23 22 18 18 18 30 16 12 18 20 17 19 25 31 13 17 15 14 22 22 19 20 20 20 20 21 22 20 20 19 23 15 15 14 20 17 23 17 14 30 22 20 10 44 19 19 23 27 23 27 38 20 23 12 23 16 15 18 20 35 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
01_2021,3207,5168,217,1941,1,4828,2827,2523,8753,[21 25 17 22 22 19 23 32 17 20 15 20 22 18 16 15 17 33 15 20 20 20 15 20 20 15 41 18 18 30 15 22 14 45 23 16 25 22 19 18 18 20 13 25 20 12 15 14 22 21 23 18 18 40 20 13 20 14 21 40 18 18 21 22 19 16 34 10 8 13 13 20 25 16 15 20 20 19 16 12 14 41 26 18 21 22 14 12 20 14 17 20 17 12 44 24 15 17 15 12 20 14 21 22 20 25 21 20 20 17 23 18 18 31 12 15 19 14 16 20 18 20 20 20 36 40 19 40 22 21 20 13 18 23 15 22 15 21 22 35 16 25 21 20 15 23 15 29 22 15 18 16 18 15 17 22 16 22 12 15 18 22 15 37 40 22 13 19 15 15 17 23 20 12 15 15 12 25 19 14 17 19 15 15 18 15 21 18 13 20 19 15 17 17 19 11 22 13 20 20 20 23 21 16 15 30 12 20 18 18 15 16 25 33 12 12 15 15 20 24 20 17 21 20 23 26 25 17 19 20 20 15 17 17 22 23 20 14 14 30 20 20 15 27 16 16 20 30 24 25 44 20 18 14 22 18 18 18 21 30 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
01_2021,3183,5190,230,1895,1,4607,2884,2523,8585,[20 33 15 23 20 14 21 30 13 22 18 21 23 21 15 17 15 36 15 22 20 20 15 21 18 13 40 18 24 28 21 24 15 40 24 20 28 17 18 17 18 27 12 18 20 16 16 15 19 24 21 23 19 39 22 17 20 17 27 40 23 18 11 19 17 21 33 15 11 15 11 18 15 14 15 19 18 17 20 14 15 29 19 15 26 22 14 11 16 14 17 20 21 12 38 25 14 13 15 14 19 14 19 22 26 20 20 21 21 20 23 20 23 30 13 14 14 16 14 18 23 20 15 18 41 40 19 40 17 20 21 17 20 21 15 17 13 19 23 42 17 14 19 20 15 17 13 30 21 17 19 26 22 15 16 20 18 19 15 15 18 23 16 30 40 20 18 24 20 18 19 18 23 15 12 16 13 21 18 14 23 20 15 17 20 13 20 13 18 20 20 15 14 20 22 16 19 16 16 19 20 23 17 17 15 29 13 13 21 19 15 16 25 30 15 15 23 16 21 23 21 23 20 22 22 17 24 18 21 25 25 14 13 18 18 18 17 17 12 23 20 22 13 35 19 14 23 30 20 27 48 20 23 12 23 16 15 19 20 30 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
01_2021,3168,5146,275,1853,1,4520,2760,2523,8541,[22 32 15 23 20 17 21 30 13 22 15 21 23 17 15 16 15 27 15 19 20 23 15 20 18 12 37 18 24 30 18 25 15 40 19 21 28 17 18 17 18 26 12 18 20 14 16 15 16 24 21 18 19 35 20 17 20 20 27 31 23 20 14 21 16 18 30 15 11 15 11 21 18 14 15 21 18 17 20 15 15 32 19 15 23 20 14 12 20 14 17 20 21 10 41 25 14 16 15 13 21 17 20 22 26 20 17 20 20 20 17 20 22 34 11 12 13 16 14 16 20 20 15 18 40 40 19 39 17 20 21 17 20 24 15 20 13 19 20 40 15 14 20 20 15 17 11 30 21 17 19 26 22 15 18 20 15 17 15 17 16 23 16 27 40 23 15 24 21 18 19 19 23 15 10 18 14 22 18 14 20 20 15 19 20 14 22 12 18 20 20 15 14 18 22 16 19 19 19 13 20 20 20 17 15 29 15 13 23 19 15 16 25 30 15 15 23 16 22 23 21 20 20 22 22 17 22 18 18 25 25 15 13 18 18 18 19 15 12 23 19 22 13 39 19 16 24 30 20 27 48 20 23 15 23 16 15 16 21 30 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
01_2021,3162,5133,298,1829,1,4389,2817,2523,8535,[22 32 15 23 20 16 21 30 13 22 15 21 23 17 15 16 15 27 15 19 20 23 15 20 18 12 37 18 24 30 18 22 15 40 19 21 28 17 18 17 18 26 12 18 20 14 16 15 16 24 21 18 19 33 20 17 17 20 27 31 23 20 14 21 16 18 30 15 11 15 11 21 18 14 15 21 18 17 20 15 15 32 19 15 26 20 14 10 20 14 17 20 21 8 41 25 14 17 15 13 21 17 20 22 26 20 17 17 20 18 17 20 22 34 11 13 13 16 14 18 20 20 15 18 40 40 19 39 17 20 21 17 20 24 15 20 13 19 17 45 15 14 20 20 15 17 11 30 21 18 19 26 22 15 18 20 15 17 15 17 16 23 16 27 40 23 15 24 21 18 19 19 23 15 10 18 14 22 20 14 20 20 15 19 20 14 22 12 18 21 20 15 14 18 22 16 19 19 19 13 20 20 20 17 15 30 15 13 23 19 15 16 25 30 15 15 23 16 22 23 21 20 20 22 22 16 22 18 18 25 25 15 13 18 18 18 19 15 12 23 19 22 13 39 16 16 24 28 20 27 48 20 23 15 23 16 15 13 21 30 ],[2 -7 -2 6 -2 -5 -3 16 -12 -2 7 -1 -1 1 -2 -8 -1 -1 2 -6 1 -1 -2 5 -3 -2 -6 3 -7 -1 2 -5 -1 -6 2 0 1 2 -4 -2 2 -8 -1 -1 3 -1 -1 -4 6 -3 -2 -13 -3 -2 1 1 7 -2 -1 -3 -3 -5 3 -13 -3 -7 -7 -1 -1 5 5 -4 -1 -1 -4 -1 -1 -1 -1 0 4 0 0 1 -1 1 -7 11 -8 -1 4 -1 2 7 -7 7 1 -6 -4 -3 -3 -7 -5 -6 -11 -2 1 1 -2 -5 -2 2 -3 8 -1 -2 7 4 0 4 -2 -1 3 4 8 -12 -2 5 3 6 0 -4 -5 -2 3 -1 -2 -12 -3 5 -4 -1 2 5 2 -1 -1 -1 4 -3 5 -1 0 0 -3 3 -6 5 -5 -6 -8 -3 -3 -1 6 -4 -3 -1 -2 -3 1 -4 1 -4 0 2 -10 -1 3 -1 -4 3 2 -6 4 -9 4 1 0 3 -1 0 0 -3 -4 -7 -15 -1 3 4 0 4 -1 3 -3 0 -4 4 -7 4 5 6 -6 -5 1 3 -1 -3 2 -6 3 -8 6 -7 -3 5 -1 -3 -5 -6 2 -6 3 -1 7 -2 -3 -5 3 13 6 -1 2 -3 -2 -6 1 4 -1 -11 6 0 -3 1 -4 -2 -2 2 -10 -15 ]
