MES,FITNESS,CAPACIDAD_TOTAL,KM_EXTRA,KM_TENDENCIA,SOBRANTE,VACIAS,LLENAS,BICIS TOTAL,PERDIDOS,CAPACIDAD,IBASE-CAPACIDADES_MEJOR
01_2021,3563,5089,0,2546,1,5603,4209,2523,10390,[20 25 15 20 20 19 20 29 17 20 15 20 20 18 16 15 17 30 15 18 20 20 15 20 20 15 40 20 20 30 20 20 15 40 20 20 30 20 19 15 18 20 15 20 20 15 15 15 19 20 20 20 19 40 20 15 20 20 20 40 19 18 15 20 15 14 30 15 10 15 12 20 20 15 14 20 20 17 18 15 15 30 20 15 20 20 15 15 20 14 17 20 20 15 39 27 15 16 15 15 20 15 20 20 20 20 20 20 20 20 20 20 20 30 15 15 20 16 17 20 20 20 15 20 40 40 19 40 20 20 20 15 20 20 15 20 13 20 20 40 15 20 18 20 15 20 15 30 20 15 18 15 20 15 15 20 15 20 15 15 18 20 15 30 40 20 15 20 20 15 20 20 20 15 15 15 13 20 20 14 20 20 15 15 20 15 20 18 15 18 20 15 14 20 20 15 15 15 18 20 20 20 15 15 15 30 15 15 20 20 15 18 25 30 15 15 17 15 20 20 20 17 20 20 20 20 20 20 20 20 20 15 15 15 20 20 20 15 15 30 20 20 15 37 19 15 20 30 20 24 40 20 20 14 20 17 15 18 20 30 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
01_2021,3280,5107,269,1987,1,4512,3359,2523,9095,[20 21 17 24 20 18 22 28 20 20 15 20 17 18 18 17 17 30 12 18 23 20 15 21 18 12 35 24 23 34 17 20 13 40 20 22 31 20 19 20 18 20 15 20 23 13 15 11 18 17 20 20 17 40 22 15 17 20 20 42 19 15 15 20 15 14 26 15 7 15 12 20 22 18 14 22 20 17 18 11 15 30 19 11 19 19 19 12 21 17 14 22 21 15 40 27 13 13 17 10 20 15 23 18 19 22 21 20 20 20 20 20 20 28 13 14 16 16 15 20 20 20 15 19 45 47 22 46 16 19 22 15 13 15 15 20 11 20 24 40 15 18 19 20 15 20 16 30 20 13 18 15 20 16 11 20 16 20 15 15 19 20 16 30 40 19 13 20 19 15 20 22 20 15 18 15 13 27 23 14 20 20 16 17 17 17 20 18 14 18 23 12 16 20 20 13 10 15 16 20 19 20 17 15 13 35 15 13 20 21 16 13 24 30 15 15 23 12 19 23 18 18 20 23 20 20 21 20 23 20 23 16 17 13 20 21 25 18 15 30 21 23 15 46 17 15 20 30 22 24 40 20 20 12 20 17 15 15 17 32 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
01_2021,3265,5098,237,2006,1,4552,3366,2523,9093,[20 25 16 19 26 19 20 29 19 17 15 17 20 20 16 15 17 26 15 18 20 19 15 19 17 15 32 17 20 30 19 18 15 39 22 20 28 20 19 15 17 20 16 20 20 13 17 18 17 17 21 20 22 35 22 15 19 19 18 40 19 15 18 16 21 14 24 15 10 15 11 17 16 11 17 21 21 17 18 13 17 30 23 15 17 20 15 15 20 13 15 20 20 15 39 27 16 14 15 17 20 15 23 20 25 18 20 20 20 20 20 19 20 30 18 15 23 16 17 23 17 20 11 20 34 44 21 42 22 20 20 16 19 20 15 22 15 18 22 41 15 21 15 19 16 20 15 31 19 12 19 20 23 15 15 16 15 21 15 13 20 16 18 34 40 17 15 20 20 15 23 24 20 15 15 16 13 22 21 13 21 19 19 15 21 17 17 18 12 21 20 17 14 20 23 16 15 14 18 17 18 19 14 13 17 30 15 15 20 16 13 19 28 30 12 18 16 13 23 20 22 17 20 22 18 21 20 20 20 19 20 12 15 16 22 20 20 15 12 33 23 22 12 39 23 11 26 29 20 27 36 23 20 16 20 17 15 20 27 26 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
01_2021,3256,5134,244,1976,1,4794,2788,2523,8876,[20 23 12 21 20 19 22 29 17 20 11 22 20 21 16 17 17 30 17 18 22 17 12 22 16 17 37 20 20 30 22 22 17 40 20 20 26 20 19 10 18 21 17 18 23 21 18 17 19 21 20 20 17 42 21 15 20 20 15 38 19 23 15 18 15 14 30 15 10 12 12 19 20 12 14 20 20 20 16 12 16 31 22 11 20 25 19 18 16 16 17 19 20 14 35 29 15 18 15 15 23 12 23 20 19 23 20 18 23 22 18 17 20 30 19 21 19 16 17 21 24 18 20 22 40 37 19 42 24 19 17 14 19 23 19 22 13 23 22 32 16 16 18 20 15 21 17 35 21 14 18 21 23 11 15 20 15 20 15 15 16 20 17 30 45 22 15 20 20 16 21 22 21 15 15 15 12 20 20 14 19 18 15 13 20 15 20 19 18 18 23 14 14 18 20 18 11 15 13 20 17 19 15 13 13 30 18 15 21 21 15 18 25 30 17 15 17 12 17 22 21 12 19 20 20 19 17 20 21 21 20 16 14 14 21 18 20 15 14 30 19 26 14 34 21 13 20 34 20 23 40 20 23 13 20 19 20 19 18 34 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
01_2021,3254,5082,342,1898,1,4395,3130,2523,9104,[17 28 12 20 16 19 16 29 15 26 17 19 18 15 18 15 17 33 13 19 20 14 14 12 19 15 40 17 20 35 16 20 15 44 20 20 30 20 19 17 15 19 17 19 20 12 14 16 16 21 20 22 15 42 21 11 20 20 26 33 23 18 16 26 13 9 29 15 12 12 15 24 19 15 12 22 19 12 18 12 12 30 16 15 20 19 14 17 18 16 18 23 19 16 39 27 15 16 14 14 20 15 20 17 22 23 20 23 20 21 15 20 20 31 17 14 20 16 17 23 20 20 18 22 43 40 19 39 23 17 20 12 18 17 16 20 13 18 23 40 16 20 16 20 15 21 17 30 20 15 21 20 20 15 15 18 18 20 16 15 21 20 14 29 39 21 15 27 20 15 20 21 23 15 15 20 13 21 16 15 20 20 15 14 23 16 17 18 14 18 21 17 12 17 12 15 18 15 18 19 21 19 15 15 12 30 15 15 19 20 17 20 29 25 15 15 15 15 17 21 20 17 21 21 21 21 20 18 20 20 23 14 17 16 20 20 19 15 16 31 23 22 13 40 14 14 20 26 20 31 41 20 21 15 17 20 12 16 22 29 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
01_2021,3195,5142,238,1919,1,4604,2891,2523,8573,[21 20 21 20 19 19 23 29 17 18 14 22 20 17 16 13 17 26 12 20 20 21 15 21 22 14 40 22 23 29 21 20 15 40 23 20 35 23 21 15 18 18 14 20 20 15 14 16 20 18 20 20 17 40 22 15 20 20 23 45 24 18 15 19 11 14 30 12 9 15 12 19 20 16 15 24 22 16 19 15 13 30 19 15 17 16 18 15 20 18 17 21 19 15 39 31 15 17 16 16 20 17 20 18 23 20 18 20 17 24 21 20 20 30 12 15 20 14 12 21 19 23 25 20 43 32 21 40 21 22 20 15 17 20 18 24 12 17 19 40 15 20 15 18 14 13 15 34 20 15 16 16 20 14 15 23 17 22 17 18 18 20 13 30 40 17 16 20 17 17 18 20 19 18 20 17 13 18 21 15 18 19 15 15 21 16 21 18 15 22 14 17 13 20 17 13 21 14 16 20 22 20 15 17 15 26 15 16 23 22 13 18 25 32 15 15 16 14 17 20 20 20 18 23 22 17 22 20 23 22 23 12 15 16 18 20 20 15 8 30 18 21 18 42 19 14 21 34 17 25 37 20 23 13 23 19 15 19 20 34 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
01_2021,3174,5079,282,1879,1,4465,2781,2523,8543,[19 25 16 14 23 19 22 27 18 20 15 18 15 17 14 11 15 30 15 20 17 20 15 20 24 14 40 22 23 29 21 18 15 43 17 20 34 20 14 13 23 18 19 22 18 11 16 15 16 23 22 20 22 40 20 16 20 16 22 40 20 18 18 18 15 14 30 17 10 12 10 22 20 16 13 20 25 21 21 13 12 29 22 12 20 22 15 17 20 16 19 20 14 20 40 31 13 16 13 15 20 15 24 27 18 19 20 20 22 22 21 20 21 26 14 15 20 16 14 19 20 20 16 17 40 40 19 40 21 15 23 16 20 20 15 20 13 22 26 40 14 20 15 20 15 20 15 30 17 17 15 15 20 20 11 20 14 20 15 20 18 22 15 27 38 25 15 20 22 15 18 18 23 15 15 13 13 18 22 15 20 17 16 18 20 14 20 24 17 16 19 17 10 19 19 12 18 14 18 20 23 19 13 13 15 29 10 18 20 14 16 19 19 30 15 14 12 18 19 21 19 13 20 21 20 22 20 20 19 24 15 16 15 14 22 22 17 14 12 30 20 22 12 40 22 15 20 27 21 25 41 23 16 14 18 18 13 18 19 29 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
01_2021,3174,5079,282,1879,1,4465,2781,2523,8543,[19 25 16 14 23 19 22 27 18 20 15 18 15 17 14 11 15 30 15 20 17 20 15 20 24 14 40 22 23 29 21 18 15 43 17 20 34 20 14 13 23 18 19 22 18 11 16 15 16 23 22 20 22 40 20 16 20 16 22 40 20 18 18 18 15 14 30 17 10 12 10 22 20 16 13 20 25 21 21 13 12 29 22 12 20 22 15 17 20 16 19 20 14 20 40 31 13 16 13 15 20 15 24 27 18 19 20 20 22 22 21 20 21 26 14 15 20 16 14 19 20 20 16 17 40 40 19 40 21 15 23 16 20 20 15 20 13 22 26 40 14 20 15 20 15 20 15 30 17 17 15 15 20 20 11 20 14 20 15 20 18 22 15 27 38 25 15 20 22 15 18 18 23 15 15 13 13 18 22 15 20 17 16 18 20 14 20 24 17 16 19 17 10 19 19 12 18 14 18 20 23 19 13 13 15 29 10 18 20 14 16 19 19 30 15 14 12 18 19 21 19 13 20 21 20 22 20 20 19 24 15 16 15 14 22 22 17 14 12 30 20 22 12 40 22 15 20 27 21 25 41 23 16 14 18 18 13 18 19 29 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
01_2021,3161,5100,316,1823,1,4259,2736,2523,8497,[19 25 16 14 22 25 22 27 18 20 14 18 15 17 14 12 15 30 15 20 17 20 15 20 24 14 40 22 23 29 21 18 15 43 19 20 34 20 14 13 23 21 19 25 16 13 16 15 16 23 22 20 22 40 18 16 20 16 22 40 20 18 18 18 15 14 31 17 10 12 10 22 20 16 13 20 24 21 21 13 12 29 22 14 20 22 15 17 20 16 19 20 14 20 40 34 13 16 13 15 20 15 24 27 18 19 20 20 24 22 21 20 21 26 14 15 22 16 10 19 20 20 16 17 40 40 19 40 21 15 23 16 17 20 15 20 13 22 29 40 14 20 15 20 15 20 15 33 17 17 15 15 20 20 11 19 15 20 15 20 18 22 15 27 38 26 15 20 22 15 18 18 23 15 15 13 13 18 24 16 20 17 16 18 20 14 19 24 17 16 19 17 8 19 19 12 18 14 18 20 23 19 13 13 15 29 10 18 20 15 16 19 19 30 12 14 14 18 19 21 19 13 20 21 20 22 19 20 19 22 15 16 14 14 22 24 17 14 12 30 21 22 10 40 22 15 20 29 21 25 41 23 18 14 18 18 13 18 19 29 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
01_2021,3147,5117,294,1825,1,4255,2666,2523,8335,[19 25 16 14 22 25 22 27 18 20 14 18 15 17 14 12 15 30 14 20 17 20 15 20 24 14 42 24 23 29 21 18 15 43 19 23 34 20 14 13 23 21 19 25 16 13 16 18 16 23 22 20 22 40 18 16 20 16 22 40 20 18 18 18 15 14 32 17 10 12 10 22 20 16 13 20 24 21 21 13 12 29 22 14 20 22 15 17 20 19 19 23 14 20 40 34 13 16 13 15 18 15 24 27 18 19 20 20 24 22 21 18 21 26 14 15 22 16 10 19 20 20 13 17 40 40 19 40 20 15 23 16 17 20 15 20 13 22 29 40 15 20 15 20 15 20 15 33 17 17 15 15 20 20 11 19 15 20 15 20 18 22 15 27 38 26 15 20 22 15 18 18 23 15 15 13 13 18 24 16 20 17 16 18 20 14 19 24 17 19 19 17 8 19 19 10 18 14 18 20 23 19 13 13 15 29 10 21 20 15 16 19 19 30 12 14 14 18 19 20 19 13 20 21 20 22 19 20 19 22 15 16 14 14 22 25 17 14 12 30 21 22 10 40 22 15 20 33 21 25 41 23 18 14 18 18 13 18 19 29 ],[-2 -8 -2 7 -1 -3 -1 11 0 -4 2 -3 -4 1 -5 4 1 13 1 -8 5 -6 -1 -5 -2 1 -5 -9 -4 -1 9 4 1 6 3 2 2 1 5 -2 -5 5 -4 -4 -3 -10 -1 -7 8 -4 -2 -2 -3 10 5 -7 7 2 -1 6 -1 -4 3 -1 -2 2 3 -3 0 2 4 1 1 3 -2 -5 2 -2 -2 1 3 -4 5 -6 -4 1 -2 -4 2 -1 -3 -6 9 -2 1 -5 5 -7 4 6 5 -5 -2 -7 -1 -3 0 1 -12 -3 11 2 -2 12 3 -1 0 6 7 1 -7 -5 -1 -1 -12 3 -3 4 -4 5 4 -11 3 2 -1 -3 1 -2 -7 6 -9 -7 3 -3 2 -2 -2 7 7 0 -2 -8 -19 -6 6 1 3 -1 -6 -5 1 -1 -2 -3 5 -15 -3 -2 2 -4 4 -2 -5 10 3 -4 -2 -1 -2 5 2 1 0 -3 6 -3 3 0 0 -1 -4 -5 4 -2 8 2 5 0 -1 6 -9 -1 1 6 0 -2 6 3 9 10 4 -4 5 0 2 3 7 0 1 -4 -2 4 0 -3 3 -2 -2 0 1 9 -1 -3 -2 -1 3 -1 -5 3 7 1 -5 -1 0 -8 -5 5 2 8 -2 2 4 -4 4 1 5 -6 -5 3 0 -76 ]
