MES	FITNESS	CAPACIDAD_TOTAL	KM_EXTRA	KM_TENDENCIA	SOBRANTE	VACIAS	LLENAS	BICIS TOTAL	PERDIDOS	CAPACIDAD	IBASE-CAPACIDADES_MEJOR
-01_202	2364.006238355832	5110	248.74774290880939	2105.0048291767093	1.025366627031312	4770	3219	2523.0	9405.0	[20 25 15 20 21 17 19 32 14 20 13 23 22 16 16 15 17 29 17 21 19 21 14 17 17 15 44 20 23 30 20 19 15 44 19 19 30 19 20 11 21 20 15 15 20 15 17 12 19 17 23 14 19 35 20 13 20 20 20 40 19 18 15 20 13 14 30 15 10 17 13 21 20 15 14 20 20 18 18 17 13 31 21 17 17 21 18 15 23 12 17 17 20 15 43 30 13 16 16 15 22 17 20 20 19 21 22 20 17 18 20 20 18 31 15 15 20 20 17 23 25 20 16 21 34 42 18 40 27 20 16 15 23 22 14 20 13 19 20 36 15 23 18 24 15 19 13 30 21 15 18 13 20 17 14 20 15 23 16 15 21 20 15 30 40 20 16 20 24 15 20 20 17 15 15 15 13 18 20 14 17 22 13 16 20 17 20 18 11 21 20 15 11 26 19 17 16 16 18 20 20 20 15 17 15 30 18 15 19 20 20 19 25 30 13 15 20 14 22 20 20 16 15 23 22 20 22 14 23 20 18 13 15 14 20 17 20 14 12 30 20 20 15 39 19 11 20 30 19 22 40 23 24 13 20 17 16 14 22 30]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
-01_202	2484.754616276354	5138	438.07420163945307	2036.315769373326	1.036464526357511	4605	3234	2523.0	10888	[18 25 15 20 21 17 19 32 14 20 13 23 22 16 16 15 17 29 17 21 19 21 14 17 17 16 44 20 23 30 20 19 15 44 19 19 30 19 20 11 21 20 15 15 20 15 17 12 19 17 23 14 19 35 20 13 20 20 20 40 19 18 15 20 13 14 30 15 10 17 13 21 20 17 14 20 20 18 21 17 13 31 21 17 17 21 18 17 23 12 17 17 20 15 43 30 13 16 16 15 22 17 20 20 19 22 22 20 17 18 20 20 18 31 15 15 20 20 17 23 25 20 16 21 34 42 18 40 27 23 17 19 24 22 14 23 13 19 20 36 15 23 18 24 13 19 13 30 21 15 18 13 21 17 14 20 15 23 16 15 20 22 15 30 40 20 16 22 24 15 20 20 17 15 16 15 13 18 20 14 17 22 13 16 20 17 20 18 11 21 23 15 11 26 19 17 16 16 18 20 20 20 15 17 15 30 18 15 19 20 20 19 25 30 13 15 20 14 22 20 20 16 16 23 22 23 22 14 23 20 18 13 15 14 20 17 20 14 11 30 20 20 15 39 19 11 20 30 19 22 40 23 24 13 20 17 16 14 22 30]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
-01_202	2479.7090249956173	5107	388.76479483062906	2080.7024545010963	1.0241775663892192	4519	3494	2523.0	10508	[20 25 15 20 21 17 19 32 14 20 13 23 22 16 16 17 17 29 17 21 19 21 14 17 17 15 44 20 23 30 20 19 15 44 19 19 30 19 20 11 21 19 15 15 20 15 17 12 19 14 23 14 19 35 20 13 22 20 20 40 19 18 15 20 14 14 30 17 10 17 13 21 17 15 14 20 20 18 18 17 13 31 21 17 17 21 18 15 23 12 17 17 20 15 43 30 13 16 16 15 22 17 20 20 19 21 22 20 17 18 20 20 18 31 15 15 20 20 17 23 25 20 16 21 34 43 18 40 27 20 16 15 24 22 14 20 13 20 20 36 15 23 18 24 15 19 13 30 21 15 18 11 20 17 14 20 15 23 16 15 21 20 15 30 40 20 16 20 24 15 20 20 17 15 15 15 13 18 20 14 17 22 13 16 20 17 20 18 11 21 20 15 11 22 19 14 16 16 18 20 20 20 15 17 15 30 18 15 19 20 20 21 25 30 14 15 20 14 22 20 20 17 15 23 22 20 22 14 26 20 18 13 15 14 20 17 20 14 12 30 20 20 15 37 19 12 20 30 19 22 40 20 24 13 20 17 13 14 22 33]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
-01_202	2500.125133813811	5119	447.47153727286513	2042.36425845137	1.0289338089575901	4549	3338	2523.0	10968	[20 25 15 20 21 17 19 32 14 23 13 23 22 16 16 15 17 29 17 21 19 21 14 14 17 15 44 20 23 30 17 19 15 44 19 19 30 19 20 11 21 20 15 15 20 15 17 12 19 17 23 14 19 36 20 13 20 20 20 40 21 18 15 20 13 14 30 15 10 17 13 21 19 15 14 20 20 18 21 17 13 31 21 17 17 21 18 15 23 12 17 17 20 15 43 30 13 16 16 15 22 17 20 20 19 21 22 20 17 18 20 20 18 31 15 15 20 20 17 23 25 20 15 21 34 42 18 40 27 21 16 15 23 22 14 20 13 19 20 36 15 23 18 24 15 19 13 30 21 15 15 13 20 17 14 20 15 23 19 16 21 20 15 30 40 20 16 20 24 15 18 20 17 15 15 15 13 18 20 14 17 21 13 16 20 17 20 18 11 21 20 15 11 26 19 17 16 16 18 20 20 22 15 18 15 30 18 14 19 20 20 19 25 30 13 15 20 14 25 20 20 16 17 23 22 20 22 14 23 20 18 13 15 14 20 17 20 14 12 30 22 20 15 39 19 11 20 30 18 22 40 23 24 13 21 17 16 14 22 30]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
-01_202	2489.3008754496104	5129	407.4792548038207	2071.492647201477	1.0328973444312326	4630	3380	2523.0	10763	[20 25 15 20 21 17 19 32 14 20 13 23 22 16 16 15 17 29 17 21 19 24 14 17 17 15 44 20 23 28 20 19 17 44 19 19 30 19 20 11 21 20 15 15 20 15 17 12 19 17 24 14 19 35 20 13 20 20 20 40 19 18 15 20 13 16 32 15 10 17 13 21 20 15 14 20 20 18 18 17 13 31 21 17 17 21 18 15 23 14 17 17 20 14 48 30 13 16 16 14 22 17 20 20 19 21 22 20 17 18 20 20 18 31 16 15 20 20 17 23 25 20 16 18 34 42 18 40 27 20 16 15 23 22 16 20 13 19 20 36 15 23 18 24 15 19 13 30 21 15 18 13 20 17 14 20 13 23 16 15 21 20 15 30 40 20 16 20 24 15 20 18 17 15 15 15 13 18 20 14 17 22 13 16 20 17 20 18 11 21 20 15 11 26 19 17 16 16 18 20 20 20 15 20 15 30 18 15 19 20 20 19 25 30 13 15 20 14 22 20 20 18 15 23 22 20 22 14 23 20 18 13 15 14 20 17 20 14 12 30 20 20 15 39 19 11 18 30 19 22 40 23 24 13 20 17 17 16 22 34]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
-01_202	2368.3307593761615	5118	309.44640251375995	2048.598982308299	1.028537455410226	4697	3193	2523.0	9338	[20 25 15 20 21 17 19 32 14 20 13 23 22 16 16 15 17 28 17 21 19 21 14 17 17 15 44 20 23 30 20 20 15 44 19 18 30 19 20 11 21 20 15 15 20 14 17 12 19 17 23 14 22 35 20 13 20 20 20 40 19 16 15 20 13 14 30 15 10 17 13 21 20 15 14 20 20 18 18 17 13 31 21 17 17 21 18 15 23 12 17 17 20 15 43 30 13 16 16 16 22 17 20 20 19 21 22 20 17 18 20 20 18 31 15 15 20 20 17 23 25 20 16 21 33 42 18 40 27 20 16 15 23 22 14 20 13 19 20 36 15 23 18 24 15 19 14 30 21 15 18 13 20 17 14 20 15 23 16 15 21 20 16 30 40 20 16 20 24 15 20 20 17 15 15 15 13 18 20 14 20 22 13 16 17 17 20 18 11 21 20 15 11 26 19 17 15 15 18 20 20 20 15 17 15 30 18 15 19 20 23 21 24 30 11 15 20 14 22 21 20 16 15 23 22 20 22 14 23 20 18 13 15 14 20 17 20 14 12 30 20 20 15 39 19 11 20 34 20 22 40 23 24 13 20 18 16 14 22 30]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
-01_202	2358.2492113079134	5116	283.61083028052315	2064.360933544235	1.0277447483154973	4733	3221	2523.0	9327	[20 25 15 20 21 17 19 32 14 20 13 23 22 16 16 16 20 29 15 21 19 21 14 17 17 15 44 20 25 30 20 19 15 44 19 19 30 19 20 11 21 20 14 15 20 15 17 12 19 17 23 14 19 35 20 13 20 20 20 40 19 18 15 20 13 14 30 15 10 17 13 21 18 15 14 20 20 18 18 17 13 31 21 20 17 21 18 15 23 14 17 17 20 15 43 30 14 16 16 15 22 17 20 20 19 21 22 20 17 18 20 19 18 31 15 15 20 20 17 23 25 20 16 21 34 42 18 40 27 20 16 15 21 22 14 21 13 19 20 36 15 23 18 24 15 19 13 30 20 14 18 13 20 17 14 20 15 23 16 15 21 20 15 30 39 20 16 20 24 15 18 20 17 15 15 15 13 21 20 14 17 22 13 16 20 17 20 18 11 21 20 15 11 26 19 17 16 16 18 20 20 20 15 17 15 30 18 15 19 20 20 19 25 30 13 15 20 14 22 21 20 16 15 23 22 20 22 14 23 20 18 13 15 14 20 17 20 14 12 30 22 20 15 39 19 11 20 30 19 22 40 23 24 13 20 17 16 14 22 30]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
-01_202	2315.3549743378862	5119	257.2706463501445	2047.794989898166	1.0289338089575901	4778	3042	2523.0	9193	[20 25 15 18 21 17 19 32 14 20 13 23 21 19 16 16 20 29 15 21 19 21 14 17 17 15 44 20 25 30 20 19 15 44 19 19 30 19 20 11 21 20 12 15 20 15 18 12 19 17 23 14 19 35 20 13 20 20 20 40 19 18 15 20 13 14 30 15 10 19 13 21 18 15 14 20 20 18 18 17 13 33 21 20 17 21 18 14 23 14 17 17 20 15 43 32 14 16 16 15 22 17 20 20 17 21 20 20 17 16 20 19 18 31 15 15 20 20 17 23 25 20 16 21 34 42 18 40 27 20 16 15 21 22 14 21 13 19 20 36 15 23 18 24 15 19 13 30 20 14 18 13 20 17 14 20 15 23 16 15 21 20 15 31 40 20 16 20 24 15 18 20 17 15 15 15 13 21 20 14 17 22 13 19 20 17 20 18 11 21 20 15 11 26 19 17 16 16 18 20 20 17 15 17 15 30 18 15 19 23 20 19 25 30 13 15 20 14 22 21 20 16 15 23 22 20 22 14 23 20 18 13 15 14 20 17 20 14 12 30 22 20 15 39 19 11 20 30 19 22 40 23 24 13 20 17 16 14 22 30]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
-01_202	2269.3169219715	5135	270.3352757416685	1988.6288915726777	1.0352754657154182	4772	2831	2523.0	8980	[20 25 15 18 21 19 19 32 14 20 13 23 21 19 16 16 20 29 15 21 19 21 14 17 17 15 44 20 25 30 20 19 15 44 19 19 30 19 20 11 21 20 11 15 20 15 18 12 19 17 23 14 19 35 20 13 20 20 20 40 19 18 15 20 13 14 30 15  9 19 13 21 18 15 14 21 20 18 18 14 13 35 21 20 17 21 18 14 23 14 17 17 20 15 43 32 14 19 16 17 22 17 20 23 17 21 20 20 17 16 20 19 18 31 15 13 20 20 17 23 25 22 16 21 34 42 16 40 27 20 19 15 21 22 14 21 13 19 20 36 15 23 18 24 15 19 13 30 20 14 18 13 20 17 14 24 15 23 16 15 18 20 15 31 40 20 16 20 24 15 18 20 17 15 15 15 13 21 20 14 17 22 13 19 20 17 20 18 11 21 20 15 13 22 19 17 16 16 18 20 20 17 15 17 16 30 20 15 19 23 20 19 25 30 13 15 20 14 22 21 20 16 15 23 22 20 22 14 23 20 20 13 15 14 20 17 20 14 12 30 22 20 15 39 22 11 20 30 19 22 40 23 24 13 20 17 16 14 22 30]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
-01_202	2195.0352437683173	5159	262.3928517296471	1922.1945125301486	1.04478795085216	4701	2583	2523.0	8711	[20 25 15 18 21 19 21 32 14 20 15 23 21 19 16 16 20 29 15 21 19 21 14 17 17 15 44 20 21 30 20 19 15 47 19 19 30 19 23 11 21 20 11 15 20 16 21 12 19 17 23 13 19 35 20 13 20 20 20 40 19 18 15 20 13 14 30 15  9 19 13 21 18 15 14 21 20 18 21 14 13 35 21 20 17 21 18 14 23 14 17 17 20 15 43 32 16 19 16 17 22 17 20 23 17 21 20 20 19 16 20 19 18 31 15 13 20 20 17 23 25 22 16 21 34 42 16 37 27 20 19 15 21 22 14 21 13 19 20 36 16 23 18 24 15 19 13 30 20 14 18 13 22 17 14 24 15 23 16 15 21 20 14 31 40 20 16 20 24 15 18 20 17 15 15 15 13 21 20 14 17 24 13 19 20 17 20 18 11 24 20 15 13 22 19 17 16 16 21 20 20 17 15 17 16 30 17 15 19 23 20 19 25 30 13 15 20 14 22 21 20 18 15 25 22 20 22 13 23 20 20 13 15 14 20 17 20 14 12 30 22 20 15 39 22 11 20 30 19 22 40 23 24 13 18 17 16 14 22 30]	"[  -1  -11   -8    3   -2    4   -3    5    4   -2   -1   -2   -2   -3
   -6   -9    3    1    1    1   -3   -3   -2    5   -4  -10   -2    2
    2   -7    2   -7    0  -21   -2    6   -4    8   -5    2  -10   -1
   -1   -6   -8   -4   -3  -15   -7   -1  -13  -15   -1  -13   -1   -7
    8   -8   -3   -9   -3   -3    5    1  -10   -8    7    0    1    0
   -2    2    6    3  -10   -6    1   -8   -5    5    3  -12   -3  -10
   -1   -6  -10   -1  -11   -1   -5   -6    1   -1   -4  -15   -3   -6
   -2   -6  -14  -13   -4   -1  -15   -5   -4   -8   -1   -4   -3    6
   -9   -2   -2   -2   -1   -6    1   -2   -4   -4   -3  -12   -7   -1
    5    4  -10    4   -1   -4    2  -10   -3   -5   -3   -9   -2    3
   -5   -3    2    0   -4   -4   -7    7   -1   -1  -30   -5   -8   -1
  -19    2    3   -6   -7   -7   -3  -10   -7  -15   -5   -2   -2   -2
   -2  -20  -13   -7   -1   -7   -6   -7   -3   -4   -6    2   -1    1
   -2   -5   -4   -6   -8   -9    1    3   -1    2    5   -5    0    5
   -4   -1   -1    5  -14    1   -1    4  -23    7   -5    2   -8    6
   -1    2    2    2   -6    4   -3   -1   -1   -7   -3   -2  -16   -7
   -5  -14   -4   -2  -13   -8    1   -9  -14   -4  -12   -2  -13    2
    0    3    4  -14   -7  -28   -7   -3   -2   -3  -17    0    8   -7
   -4   -7   -8  -10    2    3   -9 -226]"
