MES	FITNESS	CAPACIDAD_TOTAL	KM_EXTRA	KM_TENDENCIA	SOBRANTE	VACIAS	LLENAS	BICIS TOTAL	PERDIDOS	CAPACIDAD	IBASE-CAPACIDADES_MEJOR
-01_202	3631.4035005194623	5089	126.86615879237327	2487.4941391904263	1.0170432025366627	5393	4372	2523.0	21346.0	[20 25 15 20 20 19 20 29 17 20 15 20 20 18 16 15 17 30 15 18 20 20 15 20 20 15 40 20 20 30 20 20 15 40 20 20 30 20 19 15 18 20 15 20 20 15 15 15 19 20 20 20 19 40 20 15 20 20 20 40 19 18 15 20 15 14 30 15 10 15 12 20 20 15 14 20 20 17 18 15 15 30 20 15 20 20 15 15 20 14 17 20 20 15 39 27 15 16 15 15 20 15 20 20 20 20 20 20 20 20 20 20 20 30 15 15 20 16 17 20 20 20 15 20 40 40 19 40 20 20 20 15 20 20 15 20 13 20 20 40 15 20 18 20 15 20 15 30 20 15 18 15 20 15 15 20 15 20 15 15 18 20 15 30 40 20 15 20 20 15 20 20 20 15 15 15 13 20 20 14 20 20 15 15 20 15 20 18 15 18 20 15 14 20 20 15 15 15 18 20 20 20 15 15 15 30 15 15 20 20 15 18 25 30 15 15 17 15 20 20 20 17 20 20 20 20 20 20 20 20 20 15 15 15 20 20 20 15 15 30 20 20 15 37 19 15 20 30 20 24 40 20 20 14 20 17 15 18 20 30]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
-01_202	3318.1519187000667	5142	266.24527853143553	2013.8566996216634	1.0380499405469679	4823	2965	2523.0	9109.0	[20 25 13 17 25 19 23 27 16 23 15 20 20 20 16 13 17 30 17 18 20 20 15 17 16 15 45 21 20 26 20 19 15 42 20 22 32 20 19 14 18 20 13 20 23 15 15 17 19 22 20 20 18 44 20 17 18 23 20 34 20 18 15 17 16 15 30 14 10 14 10 20 19 16 12 19 20 15 20 13 12 33 20 15 20 19 14 15 20 16 17 20 18 13 44 27 15 14 17 15 20 15 23 19 20 17 20 18 18 22 23 20 20 30 12 15 22 15 16 20 23 21 15 20 40 40 19 44 23 18 20 15 25 18 15 21 11 21 20 31 16 18 20 20 17 22 15 30 22 15 19 15 22 14 15 20 15 21 15 15 18 20 13 30 37 20 15 25 20 15 22 24 20 17 17 14 13 20 18 14 17 20 20 16 20 15 20 20 17 21 18 13 15 20 22 14 16 17 17 22 20 20 15 13 11 30 16 18 20 20 17 18 24 26 16 15 17 15 20 18 20 17 22 21 18 20 19 19 22 20 19 20 15 15 22 21 20 15 16 30 21 20 17 37 19 11 20 31 16 24 45 27 23 16 20 15 17 18 20 37]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
-01_202	3296.427904669815	5150	264.7969436296881	1993.581020493159	1.0380499405469679	4831	2886	2523.0	9023	[20 25 13 17 25 19 23 27 16 23 15 20 20 20 16 13 17 30 17 18 20 20 15 17 16 15 45 21 20 26 20 19 15 42 20 22 32 20 19 14 18 20 13 20 23 15 15 17 19 22 20 20 18 44 20 17 18 23 20 34 20 18 15 17 16 15 30 14 10 14 10 20 19 16 12 19 20 15 20 13 12 33 20 15 20 19 14 15 20 16 17 20 18 13 44 27 15 14 17 15 20 15 23 19 20 17 20 18 18 22 23 20 20 30 12 15 22 15 16 20 23 21 15 20 40 40 19 44 23 18 20 15 25 18 15 21 11 21 20 31 16 18 20 20 17 22 15 30 22 15 19 15 22 14 15 20 15 21 15 19 22 20 13 30 37 20 15 25 20 15 22 24 20 17 17 14 13 20 18 14 17 20 20 16 20 15 20 20 17 21 18 13 15 20 22 14 16 17 17 22 20 20 15 13 11 30 16 18 20 20 17 18 24 26 16 15 17 15 20 18 20 17 22 21 18 20 19 19 22 20 19 20 15 15 22 21 20 15 16 30 21 20 17 37 19 11 20 31 16 24 45 27 23 16 20 15 17 18 20 37]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
-01_202	3267.5386534170048	5146	261.15859826063047	1966.7447004199491	1.039635354736425	4697	2898	2523.0	8902	[20 25 13 17 25 19 23 27 16 23 15 20 20 20 16 13 17 30 17 18 20 20 15 17 16 15 45 21 20 26 20 19 15 42 20 22 32 20 19 14 18 20 13 20 23 15 15 17 19 22 20 20 18 44 20 17 18 23 20 34 20 18 15 17 16 15 30 14 10 15 14 18 17 14 14 22 20 15 20 13 12 33 20 15 20 19 14 15 20 16 17 20 18 13 44 27 15 14 17 15 20 15 23 19 20 17 20 18 18 22 23 20 20 30 12 15 22 15 16 20 23 21 15 20 40 40 19 44 23 18 20 15 25 18 15 21 11 21 20 31 16 18 20 20 17 22 15 30 22 15 19 15 22 14 15 17 15 18 13 19 22 20 13 30 37 20 15 25 20 15 22 24 20 17 17 14 13 20 18 14 17 20 20 16 20 15 20 20 17 21 18 13 15 20 22 14 16 17 17 22 20 20 15 13 11 30 16 18 20 20 17 18 24 26 16 15 17 15 20 18 20 17 22 21 18 20 19 19 22 20 19 20 15 15 22 21 20 15 16 30 21 20 17 37 19 11 20 31 16 24 45 27 23 16 20 15 17 18 20 37]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
-01_202	3267.5386534170048	5146	261.15859826063047	1966.7447004199491	1.039635354736425	4697	2898	2523.0	8902	[20 25 13 17 25 19 23 27 16 23 15 20 20 20 16 13 17 30 17 18 20 20 15 17 16 15 45 21 20 26 20 19 15 42 20 22 32 20 19 14 18 20 13 20 23 15 15 17 19 22 20 20 18 44 20 17 18 23 20 34 20 18 15 17 16 15 30 14 10 15 14 18 17 14 14 22 20 15 20 13 12 33 20 15 20 19 14 15 20 16 17 20 18 13 44 27 15 14 17 15 20 15 23 19 20 17 20 18 18 22 23 20 20 30 12 15 22 15 16 20 23 21 15 20 40 40 19 44 23 18 20 15 25 18 15 21 11 21 20 31 16 18 20 20 17 22 15 30 22 15 19 15 22 14 15 17 15 18 13 19 22 20 13 30 37 20 15 25 20 15 22 24 20 17 17 14 13 20 18 14 17 20 20 16 20 15 20 20 17 21 18 13 15 20 22 14 16 17 17 22 20 20 15 13 11 30 16 18 20 20 17 18 24 26 16 15 17 15 20 18 20 17 22 21 18 20 19 19 22 20 19 20 15 15 22 21 20 15 16 30 21 20 17 37 19 11 20 31 16 24 45 27 23 16 20 15 17 18 20 37]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
-01_202	3186.161112240724	5132	171.17512953526713	1980.8995776321315	1.0340864050733254	4772	2875	2523.0	8677	[20 26 16 19 22 18 15 29 12 18 17 19 20 18 16 15 17 29 13 19 22 23 13 20 20 16 40 20 23 24 20 17 13 40 18 20 27 20 18 19 17 20 15 20 20 15 15 16 19 22 19 20 19 44 20 17 20 21 20 45 19 21 15 22 17 16 33 15 10 15 12 21 20 13 19 20 20 20 21 16 17 26 20 14 23 20 20 18 22 16 15 18 16 13 38 27 15 16 14 15 20 15 20 20 20 26 20 20 23 23 20 17 19 30 14 17 23 16 17 20 23 22 15 22 41 37 18 43 20 24 21 13 17 25 15 20 13 19 18 35 19 23 15 20 11 17 13 30 20 17 18 16 20 13 20 14 13 19 15 18 20 22 17 28 36 20 15 18 21 15 20 20 20 15 15 13 14 22 20 17 22 20 16 16 21 17 18 17 17 19 23 13 16 20 20 13 15 15 21 22 19 20 15 15 15 30 13 13 19 20 15 19 20 30 13 15 19 15 21 20 20 20 17 19 23 17 20 20 18 20 19 14 15 15 20 20 20 15 14 30 20 19 17 36 29 15 20 33 20 19 34 20 25 12 21 17 15 20 21 33]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
-01_202	3176.8315831591262	5138	160.01132813636875	1982.7338499494322	1.0340864050733254	4819	2820	2523.0	8649	[20 26 16 19 22 18 15 29 12 18 17 19 20 18 16 15 17 29 13 19 22 23 13 20 20 16 40 20 23 24 20 17 13 40 18 20 27 20 18 19 17 20 15 20 20 15 15 16 19 22 19 20 19 44 20 17 20 21 20 45 19 21 15 22 17 16 33 15 10 15 12 21 20 13 19 20 20 20 21 16 17 26 20 14 23 20 20 18 22 16 15 18 16 13 38 27 15 16 14 15 20 15 20 20 20 26 20 20 23 23 20 17 19 30 14 17 23 16 17 20 23 22 15 22 41 37 18 40 24 22 20 15 20 17 13 21 14 23 20 40 19 23 15 20 11 17 13 30 20 17 18 16 20 13 20 14 13 19 15 18 20 22 17 28 36 20 15 18 21 15 20 20 20 15 15 13 14 22 20 17 22 20 16 16 21 17 18 17 17 19 23 13 16 20 20 13 15 15 21 22 19 20 15 15 15 30 13 13 19 20 15 19 20 30 13 15 19 15 21 20 20 20 17 19 23 17 20 20 18 20 19 14 15 15 20 20 20 15 14 30 20 19 17 36 29 15 20 33 20 19 34 20 25 12 21 17 15 20 21 33]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
-01_202	3176.8315831591262	5138	160.01132813636875	1982.7338499494322	1.0340864050733254	4819	2820	2523.0	8649	[20 26 16 19 22 18 15 29 12 18 17 19 20 18 16 15 17 29 13 19 22 23 13 20 20 16 40 20 23 24 20 17 13 40 18 20 27 20 18 19 17 20 15 20 20 15 15 16 19 22 19 20 19 44 20 17 20 21 20 45 19 21 15 22 17 16 33 15 10 15 12 21 20 13 19 20 20 20 21 16 17 26 20 14 23 20 20 18 22 16 15 18 16 13 38 27 15 16 14 15 20 15 20 20 20 26 20 20 23 23 20 17 19 30 14 17 23 16 17 20 23 22 15 22 41 37 18 40 24 22 20 15 20 17 13 21 14 23 20 40 19 23 15 20 11 17 13 30 20 17 18 16 20 13 20 14 13 19 15 18 20 22 17 28 36 20 15 18 21 15 20 20 20 15 15 13 14 22 20 17 22 20 16 16 21 17 18 17 17 19 23 13 16 20 20 13 15 15 21 22 19 20 15 15 15 30 13 13 19 20 15 19 20 30 13 15 19 15 21 20 20 20 17 19 23 17 20 20 18 20 19 14 15 15 20 20 20 15 14 30 20 19 17 36 29 15 20 33 20 19 34 20 25 12 21 17 15 20 21 33]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
-01_202	3176.8315831591262	5138	160.01132813636875	1982.7338499494322	1.0340864050733254	4819	2820	2523.0	8649	[20 26 16 19 22 18 15 29 12 18 17 19 20 18 16 15 17 29 13 19 22 23 13 20 20 16 40 20 23 24 20 17 13 40 18 20 27 20 18 19 17 20 15 20 20 15 15 16 19 22 19 20 19 44 20 17 20 21 20 45 19 21 15 22 17 16 33 15 10 15 12 21 20 13 19 20 20 20 21 16 17 26 20 14 23 20 20 18 22 16 15 18 16 13 38 27 15 16 14 15 20 15 20 20 20 26 20 20 23 23 20 17 19 30 14 17 23 16 17 20 23 22 15 22 41 37 18 40 24 22 20 15 20 17 13 21 14 23 20 40 19 23 15 20 11 17 13 30 20 17 18 16 20 13 20 14 13 19 15 18 20 22 17 28 36 20 15 18 21 15 20 20 20 15 15 13 14 22 20 17 22 20 16 16 21 17 18 17 17 19 23 13 16 20 20 13 15 15 21 22 19 20 15 15 15 30 13 13 19 20 15 19 20 30 13 15 19 15 21 20 20 20 17 19 23 17 20 20 18 20 19 14 15 15 20 20 20 15 14 30 20 19 17 36 29 15 20 33 20 19 34 20 25 12 21 17 15 20 21 33]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
-01_202	3147.029456812158	5140	184.72482885472198	1925.0473945051967	1.0372572334522394	4702	2839	2523.0	8523	[20 26 16 18 22 18 15 30 12 20 17 19 20 18 16 15 17 29 13 19 22 23 14 18 23 18 40 20 23 24 20 17 13 40 18 20 27 20 18 19 17 20 15 20 20 15 15 16 19 19 19 20 19 44 20 17 23 21 20 45 19 21 15 22 20 16 33 15 10 15 10 21 20 13 19 20 20 20 21 16 17 26 20 14 23 20 20 18 22 16 15 18 18 13 38 27 15 16 14 15 20 15 18 20 20 26 20 20 23 23 20 17 19 30 14 17 23 16 18 20 23 22 13 22 41 37 18 40 24 22 20 15 20 17 13 21 14 23 20 40 19 23 15 20 11 18 13 30 20 17 18 16 20 13 20 15 13 19 15 18 20 22 17 28 36 20 15 18 21 15 20 20 20 15 15 13 14 22 20 17 22 20 16 16 21 17 18 17 17 19 23 13 16 22 20 13 15 15 21 22 19 20 15 15 15 30 13 13 19 20 15 19 20 30 13 15 19 15 21 20 20 20 17 19 23 17 20 20 15 20 19 14 15 15 20 20 20 15 14 30 17 19 17 36 29 15 19 29 20 19 34 20 25 12 21 20 15 20 21 33]	"[  2  -1  -1   5  -1   2  -4   5   3  -3   1   0  -4  -2  -4  -6   1   3
   1  -1  -5  -2  -1   4  -2   2   6   5  -1   5   5   5   2   3  -3   2
  -1  -3  -2 -12  -4  -1   2  -4  -1   1   1  -3   5  -1  -2   2  -5  -1
   5  -5   3  -1  -1   5  -5  -3   0  -1  -3   0   0  -4  -2   0   2  -1
   0   2  -8  -1  -5  -1  -4   5   5  -1  -5   1   3   0  -4  -6  -3   0
   2  -1   5   2   0  -3  -2  -2   2  -2  -3  -1  -1  -6  -4  -5   2   3
  -1  -3   0   1  -2   7  -1  -7  -9  -1  -1   3  -3  -9  -1  -3   1   2
   5  -2  -4   5   0   4   2   5  -1  -3  -5  -9  -3   7  -3  -4   1  -4
   3  -1   3   3   0  -4  -1  -1   3   6  -8   4   4   3  -1  -3  -2  -4
   1   0   3  -4   2  -2  -1  -2  -2  -5  -6   2   3  -2  -4  -5  -1   2
  -5  -1  -4  -1   0  -3   2  -3   0   4  -2   2  -6   1  -1   5  -1   3
  -8  -1   2   0  -3  -2   1   3   3   3   1   5  -2  -1   4  -5   2  -2
  -2  -1  -3 -14  -1  -6   0  -1   0   1  -2   1   6   4   3   1   2  -2
   1  -1  -3   3   0   2   3  -3  -4  -4  -4  -5  -2   0   0   5  -8  -3
  -2   2   2  -3   1  -7   1 -19]"
